,province,city,url
0,河北,邯郸,www.hd.gov.cn
1,河北,石家庄,www.sjz.gov.cn
2,河北,保定,www.bd.gov.cn
3,河北,张家口,www.zjk.gov.cn
4,河北,承德,www.chengde.gov.cn
5,河北,唐山,www.tangshan.gov.cn
6,河北,廊坊,www.lf.gov.cn
7,河北,沧州,www.cangzhou.gov.cn
8,河北,衡水,www.hengshui.gov.cn
9,河北,邢台,www.xingtai.gov.cn
10,河北,秦皇岛,www.qhd.gov.cn
11,山西,朔州,www.shuozhou.gov.cn
12,山西,忻州,www.sxxz.gov.cn
13,山西,太原,www.taiyuan.gov.cn
14,山西,大同,www.dt.gov.cn
15,山西,阳泉,www.yq.gov.cn
16,山西,晋中,www.sxjz.gov.cn
17,山西,长治,www.changzhi.gov.cn
18,山西,晋城,www.jconline.cn
19,山西,临汾,www.linfen.gov.cn
20,山西,吕梁,www.lvliang.gov.cn
21,山西,运城,www.yuncheng.gov.cn
22,内蒙古,呼伦贝尔,www.hlbe.gov.cn
23,内蒙古,呼和浩特,www.huhhot.gov.cn
24,内蒙古,包头,www.baotou.gov.cn
25,内蒙古,乌海,www.wuhai.gov.cn
26,内蒙古,乌兰察布,www.wulanchabu.gov.cn
27,内蒙古,通辽,www.tongliao.gov.cn
28,内蒙古,赤峰,www.chifeng.gov.cn
29,内蒙古,鄂尔多斯,www.ordos.gov.cn
30,内蒙古,巴彦淖尔,www.bynr.gov.cn
31,内蒙古,锡林郭勒,www.xlgl.gov.cn
32,内蒙古,兴安,www.xam.gov.cn
33,内蒙古,阿拉善,www.als.gov.cn
34,辽宁,沈阳,www.shenyang.gov.cn
35,辽宁,铁岭,www.tieling.gov.cn
36,辽宁,大连,www.dl.gov.cn
37,辽宁,鞍山,www.anshan.gov.cn
38,辽宁,抚顺,www.fushun.gov.cn
39,辽宁,本溪,www.benxi.gov.cn
40,辽宁,丹东,www.dandong.gov.cn
41,辽宁,锦州,www.jz.gov.cn
42,辽宁,营口,www.yingkou.gov.cn
43,辽宁,阜新,www.fuxin.gov.cn
44,辽宁,辽阳,www.liaoyang.gov.cn
45,辽宁,朝阳,www.zgcy.gov.cn
46,辽宁,盘锦,www.panjin.gov.cn
47,辽宁,葫芦岛,www.hld.gov.cn
48,吉林,长春,www.changchun.gov.cn
49,吉林,吉林,www.jlcity.gov.cn
50,吉林,延边,www.yanbian.gov.cn
51,吉林,四平,www.siping.gov.cn
52,吉林,通化,www.tonghua.gov.cn
53,吉林,白城,www.bc.jl.gov.cn
54,吉林,辽源,www.liaoyuan.gov.cn
55,吉林,松原,www.jlsy.gov.cn
56,吉林,白山,www.cbs.gov.cn
57,黑龙江,哈尔滨,www.harbin.gov.cn
58,黑龙江,齐齐哈尔,www.qqhr.gov.cn
59,黑龙江,鸡西,www.jixi.gov.cn
60,黑龙江,牡丹江,www.mdj.gov.cn
61,黑龙江,七台河,www.qth.gov.cn
62,黑龙江,佳木斯,www.jms.gov.cn
63,黑龙江,鹤岗,www.hegang.gov.cn
64,黑龙江,双鸭山,www.shuangyashan.gov.cn
65,黑龙江,绥化,www.suihua.gov.cn
66,黑龙江,黑河,www.heihe.gov.cn
67,黑龙江,大兴安岭,www.dxal.gov.cn
68,黑龙江,伊春,www.yc.gov.cn
69,黑龙江,大庆,www.daqing.gov.cn
70,江苏,南京,www.nanjing.gov.cn
71,江苏,无锡,www.wuxi.gov.cn
72,江苏,镇江,www.zhenjiang.gov.cn
73,江苏,苏州,www.suzhou.gov.cn
74,江苏,南通,www.nantong.gov.cn
75,江苏,扬州,www.yangzhou.gov.cn
76,江苏,盐城,www.yancheng.gov.cn
77,江苏,徐州,www.xz.gov.cn
78,江苏,淮安,www.huaian.gov.cn
79,江苏,连云港,www.lyg.gov.cn
80,江苏,常州,www.changzhou.gov.cn
81,江苏,泰州,www.taizhou.gov.cn
82,江苏,宿迁,www.suqian.gov.cn
83,浙江,舟山,www.zhoushan.gov.cn
84,浙江,衢州,www.quzhou.gov.cn
85,浙江,杭州,www.hangzhou.gov.cn
86,浙江,湖州,www.huzhou.gov.cn
87,浙江,嘉兴,www.jiaxing.gov.cn
88,浙江,宁波,www.ningbo.gov.cn
89,浙江,绍兴,www.sx.gov.cn
90,浙江,温州,www.wenzhou.gov.cn
91,浙江,丽水,www.lishui.gov.cn
92,浙江,金华,www.jinhua.gov.cn
93,浙江,台州,www.zjtz.gov.cn
94,安徽,合肥,www.hefei.gov.cn
95,安徽,芜湖,www.wuhu.gov.cn
96,安徽,蚌埠,www.bengbu.gov.cn
97,安徽,淮南,www.huainan.gov.cn
98,安徽,马鞍山,www.mas.gov.cn
99,安徽,淮北,www.huaibei.gov.cn
100,安徽,铜陵,www.tl.gov.cn
101,安徽,安庆,www.anqing.gov.cn
102,安徽,黄山,www.huangshan.gov.cn
103,安徽,滁州,www.chuzhou.gov.cn
104,安徽,阜阳,www.fy.gov.cn
105,安徽,宿州,www.ahsz.gov.cn
106,安徽,六安,old.luan.gov.cn/
107,安徽,亳州,www.bozhou.gov.cn
108,安徽,池州,www.chizhou.gov.cn
109,安徽,宣城,www.xuancheng.gov.cn
110,福建,福州,www.fuzhou.gov.cn
111,福建,厦门,www.xm.gov.cn
112,福建,宁德,www.ningde.gov.cn
113,福建,莆田,www.putian.gov.cn
114,福建,泉州,www.fjqz.gov.cn
115,福建,漳州,www.zhangzhou.gov.cn
116,福建,龙岩,www.longyan.gov.cn
117,福建,三明,www.sm.gov.cn
118,福建,南平,www.np.gov.cn
119,江西,鹰潭,www.yingtan.gov.cn
120,江西,新余,www.xinyu.gov.cn
121,江西,南昌,www.nc.gov.cn
122,江西,九江,www.jiujiang.gov.cn
123,江西,上饶,www.zgsr.gov.cn
124,江西,抚州,www.jxfz.gov.cn
125,江西,宜春,www.yichun.gov.cn
126,江西,吉安,www.jian.gov.cn
127,江西,赣州,www.ganzhou.gov.cn
128,江西,景德镇,www.jdz.gov.cn
129,江西,萍乡,www.pingxiang.gov.cn
130,山东,菏泽,www.heze.gov.cn
131,山东,济南,www.jinan.gov.cn
132,山东,青岛,www.qingdao.gov.cn
133,山东,淄博,www.zibo.gov.cn
134,山东,德州,www.dezhou.gov.cn
135,山东,烟台,www.yantai.gov.cn
136,山东,潍坊,www.weifang.gov.cn
137,山东,济宁,www.jining.gov.cn
138,山东,泰安,www.taian.gov.cn
139,山东,临沂,www.linyixian.gov.cn
140,山东,滨州,www.binzhou.gov.cn
141,山东,东营,www.dongying.gov.cn
142,山东,威海,www.weihai.gov.cn
143,山东,枣庄,www.zaozhuang.gov.cn
144,山东,日照,www.rz.gov.cn
145,山东,莱芜,www.laiwu.gov.cn
146,山东,聊城,www.liaocheng.gov.cn
147,河南,商丘,www.shangqiu.gov.cn
148,河南,郑州,www.zhengzhou.gov.cn
149,河南,安阳,www.anyang.gov.cn
150,河南,新乡,www.xinxiang.gov.cn
151,河南,许昌,www.xuchang.gov.cn
152,河南,平顶山,www.pds.gov.cn/
153,河南,信阳,www.xinyang.gov.cn
154,河南,南阳,www.nanyang.gov.cn
155,河南,开封,www.kaifeng.gov.cn
156,河南,洛阳,www.ly.gov.cn
157,河南,济源,www.jiyuan.gov.cn
158,河南,焦作,www.jiaozuo.gov.cn
159,河南,鹤壁,www.hebi.gov.cn
160,河南,濮阳,www.puyang.gov.cn
161,河南,周口,www.zhoukou.gov.cn
162,河南,漯河,www.luohe.gov.cn
163,河南,驻马店,www.biyang.gov.cn
164,河南,三门峡,www.smx.gov.cn
165,湖北,武汉,www.wuhan.gov.cn
166,湖北,襄阳,www.xiangyang.gov.cn
167,湖北,鄂州,www.ezhou.gov.cn
168,湖北,孝感,www.xiaogan.gov.cn
169,湖北,黄冈,www.hg.gov.cn
170,湖北,黄石,www.huangshi.gov.cn
