,ip,country,province,city
0,119.90.62.58,中国,北京,北京
1,121.28.35.6,中国,河北,石家庄
2,219.148.103.18,中国,河北,保定
3,60.8.117.40,中国,河北,张家口
4,111.225.238.161,中国,河北,承德
5,60.2.8.11,中国,河北,唐山
6,60.10.19.150,中国,河北,廊坊
7,221.195.105.167,中国,河北,沧州
8,121.17.30.205,中国,河北,衡水
9,60.6.236.130,中国,河北,邢台
10,121.22.8.170,中国,河北,秦皇岛
11,124.167.220.233,中国,山西,朔州
12,111.53.37.11,中国,山西,忻州
13,221.204.12.122,中国,山西,太原
14,121.30.232.110,中国,山西,大同
15,211.142.52.198,中国,山西,阳泉
16,60.223.255.13,中国,山西,晋中
17,27.221.108.52,中国,山东,济南
18,203.207.104.140,中国,山西,晋城
19,112.240.60.42,中国,山东,淄博
20,180.97.172.77,中国,江苏,无锡
21,60.222.220.204,中国,山西,运城
22,124.67.163.197,中国,内蒙古,呼伦贝尔
23,124.160.116.200,中国,浙江,杭州
24,1.180.51.17,中国,内蒙古,包头
25,1.24.247.100,中国,内蒙古,乌海
26,27.221.108.53,中国,山东,济南
27,221.199.189.183,中国,内蒙古,通辽
28,36.111.137.204,中国,内蒙古,呼和浩特
29,58.18.251.58,中国,内蒙古,鄂尔多斯
